operation,format,measure,value,file
query,csv,sec,52.24,money_laudering
query,json,sec,81.56,money_laudering
query,orc,sec,12.69,money_laudering
query,parquet,sec,6.46,money_laudering
all,avro,sec,179.63,money_laudering
all,csv,sec,226.61,money_laudering
all,json,sec,475.52,money_laudering
all,orc,sec,235.92,money_laudering
all,parquet,sec,129.9,money_laudering
write,avro,sec,140.61,money_laudering
write,csv,sec,174.93,money_laudering
write,json,sec,182.07,money_laudering
